N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus,pieces,largest_frac,baby_frac,cube_frac
64,3,cool,4,1.41880078125,0.007211905533276101,0.0033287412109375,0.00042447916666666665,0.0005581183888076956,0.0005970016920141571,12.977831609606161,8,8,0.0,none,1.6786015625,4.0,0.28125,0.715875,0.497125
64,3,cool,3.5,1.420296875,0.005259362002360648,0.0017702968750000002,0.00022135416666666666,0.0004005776697251386,0.0005020012458238135,12.995905932042135,8,8,0.0,none,1.6831015625,4.0,0.28125,0.7174375,0.4986875
64,3,cool,3,1.421421875,0.002621975564221566,0.00043998437500000005,5.859375e-05,0.00015324489407021608,0.00014386903251945225,8.34086471610516,8,8,0.0,none,1.6863125,4.0,0.28125,0.71875,0.5
64,3,heat,3.5,1.42061328125,0.004257043723600739,0.0011598349609375001,0.00021354166666666668,0.00033711583414654575,0.0002813292220788399,15.209140116695146,8,8,0.0,none,1.6841796875,4.0,0.28125,0.71875,0.5
64,3,heat,4,1.41944140625,0.0065827800019225115,0.0027733115234375,0.0002799479166666667,0.0005495646734108968,0.0005847021471525985,14.827738139703637,8,8,0.0,none,1.6807578125,4.0,0.28125,0.71525,0.4965
64,3,heat,4.5,1.418078125,0.008384541556303183,0.004499234374999999,0.0006236979166666667,0.0005908239204435229,0.0013357797790591092,14.547999340117745,8,8,0.0,none,1.67626953125,4.0,0.28125,0.71475,0.496
64,3,heat,5,1.4161640625,0.010930910403351302,0.007647027343749999,0.0006614583333333333,0.0009535344088686461,0.0015988850623782362,11.646449252266088,8,8,0.0,none,1.67035546875,4.0,0.28125,0.7069375,0.4881875
64,3,heat,5.5,1.41016796875,0.015956441237562135,0.016294913085937498,0.0010807291666666667,0.0017679225133943788,0.003705986906514151,24.42736446115773,8,8,0.0,none,1.64941796875,4.0,0.28125,0.6856875,0.4669375
64,3,heat,6,1.4076171875,0.018220677897030718,0.021247558593749997,0.0012721354166666666,0.0017428064886231952,0.004475416783174748,24.510254317906668,8,8,0.0,none,1.639609375,4.0,0.28125,0.6671875,0.4484375
64,3,heat,6.5,1.407703125,0.0169720228772788,0.018435171875,0.0013958333333333333,0.0015445473058685933,0.0025437419465374695,20.88615203349738,8,8,0.0,none,1.63958984375,4.0,0.28125,0.669625,0.450875
64,3,heat,7,0.95881640625,0.295284213235831,5.580337061523437,0.0339609375,0.06268445951387448,0.9093410298524531,387.38835295967823,8,8,0.0,none,0.62724609375,1.9125,0.782609375,0.192828125,0.1176875
64,3,heat,7.5,0.709875,0.061550157392162685,0.24245899999999995,0.09493229166666667,0.003610261281067911,0.013848061188453671,5.96118444302902,8,8,0.0,none,0.13482421875,1.0,1.0,0.0,0.0
