N,lam,g,replica,class_id,S,X,A,p_interchangeable,p_named,f_interchangeable_chain,f_named_chain,f_named_reweighted
18,1.0,10.0,4,13,20,10,2,0.04258187039965614,0.049877124859818954,0.0394,0.0534,0.049056083781176804
18,1.0,10.0,4,14,20,10,2,0.04258187039965614,0.049877124859818954,0.0431,0.04915,0.045151807450277893
18,1.0,10.0,4,15,21,14,1,0.04258187039965614,0.09975424971963791,0.0422,0.09955,0.04572596573423362
18,1.0,10.0,4,16,19,8,2,0.019133267716851275,0.02241123684640777,0.0184,0.0211,0.01938358366634514
18,1.0,10.0,4,17,21,13,2,0.06352468593396679,0.0744079267132153,0.0619,0.0709,0.06513251573193699
18,1.0,10.0,4,18,21,12,2,0.09476769538619666,0.11100358277105621,0.09515,0.1115,0.10242983785770061
18,1.0,10.0,4,19,19,9,2,0.01282541289677196,0.015022701314599676,0.0128,0.0155,0.01423912544210188
18,1.0,10.0,4,20,20,11,1,0.02854348132658114,0.06686727326431835,0.0278,0.0697,0.032015065913371
18,1.0,10.0,4,21,20,12,2,0.019133267716851275,0.02241123684640777,0.01835,0.0252,0.02315006200909467
18,1.0,10.0,4,22,20,12,4,0.019133267716851275,0.011205618423203886,0.01905,0.0094,0.017270681181388088
18,1.0,10.0,4,23,22,16,4,0.09476769538619666,0.055501791385528104,0.09515,0.05605,0.10298102981029812
18,1.0,10.0,4,24,18,8,4,0.003862940129891823,0.0022623753416216256,0.00465,0.0019,0.0034908823664507836
18,1.0,10.0,4,25,18,9,9,0.002589406205702005,0.000674006908064757,0.00265,0.00045,0.0018602728400165358
18,1.0,10.0,5,0,18,0,18,0.09476769538619666,0.012333731419006245,0.0846,0.0137,0.10110493839814681
18,1.0,10.0,5,1,18,4,2,0.019133267716851275,0.02241123684640777,0.0191,0.02175,0.017834812734466285
18,1.0,10.0,5,2,18,0,12,0.09476769538619666,0.01850059712850937,0.0879,0.02135,0.10504089707058073
18,1.0,10.0,5,3,18,2,4,0.04258187039965614,0.024938562429909477,0.0396,0.0286,0.04690350751317111
18,1.0,10.0,5,4,18,0,72,0.09476769538619666,0.0030834328547515613,0.0898,0.0035,0.1033189151513909
18,1.0,10.0,5,5,18,4,8,0.019133267716851275,0.005602809211601943,0.0186,0.0071,0.023287755478567474
18,1.0,10.0,5,6,18,6,6,0.008597131363390263,0.003356672612260704,0.0099,0.00355,0.008732908304462801
18,1.0,10.0,5,7,19,8,1,0.019133267716851275,0.04482247369281554,0.0208,0.04425,0.018142309505750187
18,1.0,10.0,5,8,19,10,1,0.008597131363390263,0.020140035673564226,0.0107,0.02035,0.00834341239416986
18,1.0,10.0,5,9,19,9,1,0.01282541289677196,0.03004540262919935,0.01295,0.0323,0.013242860949960024
18,1.0,10.0,5,10,20,11,1,0.02854348132658114,0.06686727326431835,0.02935,0.06945,0.028474201020889274
18,1.0,10.0,5,11,20,10,1,0.04258187039965614,0.09975424971963791,0.0427,0.0964,0.03952358500235747
18,1.0,10.0,5,12,19,7,1,0.02854348132658114,0.06686727326431835,0.02895,0.0682,0.027961706402082773
18,1.0,10.0,5,13,20,10,2,0.04258187039965614,0.049877124859818954,0.04265,0.0499,0.040917570365511156
18,1.0,10.0,5,14,20,10,2,0.04258187039965614,0.049877124859818954,0.0455,0.04865,0.03989258112789815
18,1.0,10.0,5,15,21,14,1,0.04258187039965614,0.09975424971963791,0.04855,0.098,0.04017957811442979
18,1.0,10.0,5,16,19,8,2,0.019133267716851275,0.02241123684640777,0.02035,0.02065,0.016932822205366842
18,1.0,10.0,5,17,21,13,2,0.06352468593396679,0.0744079267132153,0.06355,0.07805,0.06400032799655603
18,1.0,10.0,5,18,21,12,2,0.09476769538619666,0.11100358277105621,0.09655,0.1042,0.08544310284742009
18,1.0,10.0,5,19,19,9,2,0.01282541289677196,0.015022701314599676,0.01235,0.0168,0.013775855353518785
18,1.0,10.0,5,20,20,11,1,0.02854348132658114,0.06686727326431835,0.0283,0.0638,0.026157725343883883
18,1.0,10.0,5,21,20,12,2,0.019133267716851275,0.02241123684640777,0.023,0.02065,0.016932822205366842
18,1.0,10.0,5,22,20,12,4,0.019133267716851275,0.011205618423203886,0.0171,0.0107,0.017547815747934643
18,1.0,10.0,5,23,22,16,4,0.09476769538619666,0.055501791385528104,0.10025,0.05545,0.0909370451610258
18,1.0,10.0,5,24,18,8,4,0.003862940129891823,0.0022623753416216256,0.00465,0.00215,0.003525962977388737
18,1.0,10.0,5,25,18,9,9,0.002589406205702005,0.000674006908064757,0.00225,0.0005,0.001844980627703409
18,0.0,10.0,0,0,18,0,18,0.000849746039034456,0.00010358420028754709,0.00075,0.0,0.0
18,0.0,10.0,0,1,18,4,2,0.000849746039034456,0.0009322578025879239,0.00125,0.0005,0.00045229426264727833
18,0.0,10.0,0,2,18,0,12,0.000849746039034456,0.00015537630043132065,0.0009,0.0,0.0
18,0.0,10.0,0,3,18,2,4,0.000849746039034456,0.00046612890129396194,0.0009,0.0002,0.0003618354101178227
18,0.0,10.0,0,4,18,0,72,0.000849746039034456,2.5896050071886772e-05,0.00035,0.0,0.0
18,0.0,10.0,0,5,18,4,8,0.000849746039034456,0.00023306445064698097,0.0008,0.0,0.0
18,0.0,10.0,0,6,18,6,6,0.000849746039034456,0.0003107526008626413,0.0014,5e-05,0.0001356882787941835
18,0.0,10.0,0,7,19,8,1,0.004208819683838979,0.009235006248226658,0.00455,0.00895,0.004048033650693141
18,0.0,10.0,0,8,19,10,1,0.004208819683838979,0.009235006248226658,0.00465,0.0094,0.004251566068884416
18,0.0,10.0,0,9,19,9,1,0.004208819683838979,0.009235006248226658,0.0049,0.01,0.004522942626472784
18,0.0,10.0,0,10,20,11,1,0.020846420362486857,0.04574128538695811,0.02095,0.0454,0.020534159524186437
18,0.0,10.0,0,11,20,10,1,0.020846420362486857,0.04574128538695811,0.0201,0.04765,0.02155182161514281
18,0.0,10.0,0,12,19,7,1,0.004208819683838979,0.009235006248226658,0.00415,0.0089,0.004025418937560777
18,0.0,10.0,0,13,20,10,2,0.020846420362486857,0.022870642693479055,0.0216,0.0229,0.020715077229245347
18,0.0,10.0,0,14,20,10,2,0.020846420362486857,0.022870642693479055,0.02265,0.02295,0.020760306655510076
