N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus
160,1,heat,5.62,0.5629812500000001,0.0336648642643558,0.18133169375000002,0.10186822916666667,0.0016248251475519462,0.006874627452333067,5.417683352202224,16,10,1.0,none,0.0329984375
160,1,heat,5.75,0.5509765625,0.03305200444085946,0.174789599609375,0.11033072916666667,0.001476769644448203,0.010673664592080903,4.7759358230402675,16,10,1.0,none,0.029064062499999998
160,1,heat,5.89,0.5418265625,0.03291355862419914,0.17332837460937497,0.11845572916666666,0.0011023154414818335,0.007294230380983566,3.958556653886674,16,10,1.0,none,0.0280859375
160,1,heat,6.03,0.5301515625000001,0.03421974138832136,0.18735851210937504,0.12673854166666668,0.0018064382593581873,0.01044793032982072,4.51802700634891,16,10,1.0,none,0.025348437499999998
160,1,heat,6.31,0.5123484375,0.03372346291061453,0.181963512109375,0.14375104166666666,0.0009716375060304085,0.0071015375162103034,2.790461637935571,16,10,1.0,none,0.022915625000000002
160,1,heat,7.94,0.41948749999999996,0.03440230506448659,0.189362975,0.24920625,0.0007421314283029656,0.006797941074260374,1.529258530156015,16,10,1.0,none,0.011979687499999999
160,1,heat,10,0.34490000000000004,0.03351809446030606,0.179754025,0.36313958333333335,0.0006982964159728657,0.0037531680826979174,1.0892731945280405,16,10,1.0,none,0.006471875
160,1,heat,15.85,0.248709375,0.03155281890512122,0.1592928609375,0.559453125,0.0005978914324769141,0.004017252679893636,0.5746221571300525,16,10,1.0,none,0.0021640625
160,1,heat,25.1,0.1945484375,0.029051025918779422,0.135033937109375,0.6931,0.0005221666050109596,0.002514761956065327,0.5198783036878641,16,10,1.0,none,0.0011453125
160,1,heat,31.6,0.177475,0.02814595330593725,0.12675114999999998,0.7397520833333333,0.0003704284557246479,0.002879370401489337,0.5011723016042632,16,10,1.0,none,0.0008125000000000001
160,1,heat,39.8,0.164075,0.027672750021456128,0.12252497500000001,0.7761427083333333,0.00038926549799550434,0.0031535238689328034,0.5418966498282941,16,10,1.0,none,0.0007015625
160,1,heat,63.1,0.14730624999999997,0.026359325170373767,0.11117024375,0.8258213541666667,0.00045982746929002996,0.002294319832855026,0.47590628528075624,16,10,1.0,none,0.0005140625
160,1,heat,79.4,0.14087812500000002,0.02580490184023909,0.10654287343749999,0.8434572916666667,0.0004429734633788045,0.0022325833216567024,0.5274062763319423,16,10,1.0,none,0.00042343750000000004
160,1,heat,100,0.13721250000000002,0.02560661230522304,0.10491177499999998,0.8566541666666667,0.00038246474510731114,0.0024937286838025868,0.4941967842732942,16,10,1.0,none,0.0003921875
160,1,heat,177.8,0.12909375,0.025438709277152804,0.10354046875000002,0.8781447916666667,0.0003341006999323899,0.0018554410397924963,0.4567616769792401,16,10,1.0,none,0.0003265625
160,2,cool,177.8,0.129875,0.0253622966970659,0.102919375,0.8786833333333334,0.0003933127222707147,0.0020492778887116225,0.5195297451602185,16,10,1.0,none,0.0003328125
160,2,cool,100,0.13657968750000002,0.025731916767457175,0.10594104648437498,0.8562015625,0.00036323498662410364,0.0022439160034141595,0.481305769178076,16,10,1.0,none,0.00036250000000000003
160,2,cool,79.4,0.1412890625,0.02580895173667644,0.106576318359375,0.8429453125,0.0003845100034637221,0.0023925837258264885,0.4816615961626739,16,10,1.0,none,0.00044062499999999994
160,2,cool,63.1,0.1471390625,0.02685734517308242,0.11541071835937498,0.8254083333333333,0.0003839081702103999,0.0024022017565331647,0.5182510462886751,16,10,1.0,none,0.00047968749999999997
160,2,cool,39.8,0.1646609375,0.027650657582525842,0.12232941835937503,0.7766520833333334,0.0004971987332169106,0.002593654802962384,0.49705970600100174,16,10,1.0,none,0.0006578125
160,2,cool,31.6,0.176471875,0.02763464180579106,0.1221877484375,0.7409640625,0.0003715016935500394,0.002136960270138859,0.5050019166242012,16,10,1.0,none,0.0008
160,2,cool,25.1,0.1936,0.029169443022622147,0.13613702499999997,0.6944166666666667,0.0003628633429599394,0.0034524953642701226,0.5486519204408267,16,10,1.0,none,0.001053125
