N,C,lam,k,replica,seed_columns,planted_cost,f_final,phi_final,bath_T,drift,acceptance,d0,d1,d2,d3,d4,d5,d6,pieces_d1,sizes_d1,h_final
96,48,1.25,1,14,0,12.0,1.0,1.0,1.8333333333333333,0.0,0.00019114583333333334,0,2,92,2,0,0,0,1,2,20.0
96,48,1.25,1,15,0,12.0,0.958333333333333,1.0104166666666667,1.9583333333333333,0.0,0.0002017361111111111,0,4,92,0,0,0,0,1,4,14.0
96,48,1.25,1,16,0,12.0,0.958333333333333,1.0104166666666667,1.9583333333333333,0.0,0.0002064236111111111,0,4,92,0,0,0,0,1,4,14.0
96,48,1.25,1,17,0,12.0,1.0,1.0,2.25,0.0,0.00024166666666666667,0,0,96,0,0,0,0,0,,0.0
96,48,1.25,1,18,0,12.0,0.916666666666667,1.0208333333333333,1.6666666666666667,0.0,0.00023055555555555554,0,8,88,0,0,0,0,2,4 4,28.0
96,48,1.25,1,19,0,12.0,1.0,1.0,1.8333333333333333,0.0,0.0002090277777777778,0,2,92,2,0,0,0,1,2,20.0
96,72,1.25,1,0,0,12.0,0.958333333333333,1.0104166666666667,1.3055555555555556,0.0,0.00015625,0,4,92,0,0,0,0,1,4,14.0
96,72,1.25,1,1,0,12.0,0.958333333333333,1.0104166666666667,1.3055555555555556,0.0,0.00014270833333333334,0,4,92,0,0,0,0,1,4,14.0
96,72,1.25,1,2,0,12.0,0.958333333333333,1.0104166666666667,1.3055555555555556,0.0,0.00015486111111111112,0,4,92,0,0,0,0,1,4,14.0
96,72,1.25,1,3,0,12.0,1.0,1.0,1.5,0.0,0.00015225694444444444,0,0,96,0,0,0,0,0,,0.0
96,72,1.25,1,4,0,12.0,0.958333333333333,1.0104166666666667,1.3055555555555556,0.0,0.0001298611111111111,0,4,92,0,0,0,0,1,4,14.0
96,72,1.25,1,5,0,12.0,1.0,1.0,1.2222222222222223,0.0,0.0002796875,0,2,92,2,0,0,0,1,2,20.0
96,72,1.25,1,6,0,12.0,0.958333333333333,1.0104166666666667,1.3055555555555556,0.0,0.00015590277777777778,0,4,92,0,0,0,0,1,4,14.0
96,72,1.25,1,7,0,12.0,1.0,1.0,1.2222222222222223,0.0,0.00016475694444444445,0,2,92,2,0,0,0,1,2,20.0
96,72,1.25,1,8,0,12.0,0.958333333333333,1.0104166666666667,1.3055555555555556,0.0,0.0001232638888888889,0,4,92,0,0,0,0,1,4,14.0
96,72,1.25,1,9,0,12.0,0.958333333333333,1.0104166666666667,1.3055555555555556,0.0,0.0001388888888888889,0,4,92,0,0,0,0,1,4,14.0
96,72,1.25,1,10,0,12.0,0.958333333333333,1.0104166666666667,1.1666666666666667,0.0,0.0001342013888888889,0,4,92,0,0,0,0,2,2 2,24.0
96,72,1.25,1,11,0,12.0,1.0,1.0,1.5,0.0,0.00016979166666666667,0,0,96,0,0,0,0,0,,0.0
96,72,1.25,1,12,0,12.0,0.958333333333333,1.0104166666666667,1.3055555555555556,0.0,0.0001277777777777778,0,4,92,0,0,0,0,1,4,14.0
96,72,1.25,1,13,0,12.0,0.958333333333333,1.0104166666666667,1.3055555555555556,0.0,0.00014236111111111112,0,4,92,0,0,0,0,1,4,14.0
96,72,1.25,1,14,0,12.0,1.0,1.0,1.5,0.0,0.00016024305555555556,0,0,96,0,0,0,0,0,,0.0
96,72,1.25,1,15,0,12.0,1.0,1.0,1.5,0.0,0.00014131944444444446,0,0,96,0,0,0,0,0,,0.0
96,72,1.25,1,16,0,12.0,0.958333333333333,1.0104166666666667,1.3055555555555556,0.0,0.00015416666666666666,0,4,92,0,0,0,0,1,4,14.0
96,72,1.25,1,17,0,12.0,1.0,1.0,1.2222222222222223,0.0,0.00014236111111111112,0,0,96,0,0,0,0,0,,20.0
96,72,1.25,1,18,0,12.0,0.958333333333333,1.0104166666666667,1.3055555555555556,0.0,9.270833333333333e-05,0,4,92,0,0,0,0,1,4,14.0
96,72,1.25,1,19,0,12.0,0.958333333333333,1.0104166666666667,1.3055555555555556,0.0,0.00012256944444444443,0,4,92,0,0,0,0,1,4,14.0
96,96,1.25,1,0,0,12.0,0.958333333333333,1.0104166666666667,0.9791666666666666,0.0,0.00010347222222222222,0,4,92,0,0,0,0,1,4,14.0
96,96,1.25,1,1,0,12.0,0.958333333333333,1.0104166666666667,0.9791666666666666,0.0,0.00011944444444444444,0,4,92,0,0,0,0,1,4,14.0
96,96,1.25,1,2,0,12.0,1.0,1.0,0.9166666666666666,0.0,0.00010954861111111111,0,2,92,2,0,0,0,1,2,20.0
